JNAME,BNAME,RAJ,RAJ_ERR,DECJ,DECJ_ERR,F0,F0_ERR,F1,F1_ERR,P0,P0_ERR,P1,P1_ERR,DM,DM_ERR,RM,RM_ERR,DIST,ASSOC,PB,PB_ERR,BINCOMP,AGE,BSURF,EDOT,NGLT,TYPE,rm_MK,dm_MK,w50_MK,w10_MK,scatter_MK,USER,COMMENTS,CATEGORY
J1900-0933,,19:00:31.19,0.03,-09:33:48.1,1.5,0.7023018638259655,9.371330250735074e-12,-1.1161747556533407e-16,4.439051171400825e-19,1.423889144409,1.9e-11,2.263e-16,9e-19,189.0,,,,13.71,,,,,99691392.49994464,574421047752.3181,3.094680038551298e+30,,,,,,,,,,
J1900-2600,B1857-26,19:00:47.582,0.004,-26:00:43.8,0.5,1.6334285612669,1.7e-12,-5.45714e-16,1.2e-20,0.6122092044382964,6.37160186998252e-13,2.045336672279789e-16,4.4976013199876815e-21,37.994,0.005,-9.3,0.2,0.7,,,,,47424317.21320005,358081849781.8005,3.5190462718231947e+31,,,,,,,,,,
J1901+0124,,19:01:52.545,0.014,+01:24:49.3,0.8,3.13659305047,1e-10,-3.189e-14,3e-17,0.31881725933498317,1.0164444484986992e-11,3.2414413462623512e-15,3.0493333454961042e-18,314.4,1.3,354.0,5.5,6.6,,,,,1558366.8237718144,1028702923599.3801,3.9488663193110086e+33,,,,,,,,,,
J1901+0156,B1859+01,19:01:34.2876,,+01:56:38.2196,,3.469581974618,1.2e-11,-2.837907e-14,1.3e-19,0.28821915934414544,9.968434057565508e-13,2.357457399250297e-15,1.079913689570828e-20,105.394,0.007,-122.0,9.0,3.23,,,,,1937068.7321618912,834129207711.1276,3.8871835558493716e+33,1.0,,,,,,,,,
J1901+0234,,19:01:26.93,0.03,+02:34:51.4,1.0,1.1296368016721368,5.104317214768217e-11,-2.939321068124278e-14,5.104317214768909e-18,0.88524028123,4e-11,2.3034e-14,4e-18,404.0,3.0,,,7.52,,,,,608916.6399264549,4569463822940.309,1.31082765957582e+33,,,,,,,,,,
J1901+0331,B1859+03,19:01:31.781,0.002,+03:31:05.97,0.07,1.52566882999,9e-11,-1.73627e-14,7e-19,0.6554502394904106,3.8665351480323295e-11,7.459276646082326e-15,3.007305115149133e-19,402.08,0.012,-237.4,1.5,7.0,,,,,1392223.786042779,2237526557616.3076,1.0457726308439393e+33,,,,,,,,,,
J1901+0355,,19:01:30.81,0.04,+03:55:58.9,0.9,1.80259278332,9e-11,-4.14e-14,3e-17,0.5547564648285169,2.7697926174213016e-11,1.2741046040137988e-14,9.232642058071093e-18,547.0,3.0,,,6.68,,,,,689863.7489224519,2690318554236.838,2.9461693417590287e+33,,,,,,,,,,
J1901+0459,,19:01:17.47,0.04,+04:59:06.8,1.2,1.140193897302543,7.800252740675771e-11,-2.038687056724254e-14,2.60008424689342e-18,0.87704381015,6e-11,1.56817e-14,2e-18,1108.0,4.0,,,12.06,,,,,886123.3562937607,3752815320216.5913,9.176752410600021e+32,,,,,,,,,,
J1901+0716,B1859+07,19:01:38.9355,,+07:16:34.8085,,1.55279825358,8e-11,-5.5148e-15,7e-19,0.6439986635060188,3.317874228780307e-11,2.2871765996097048e-15,2.903139950183725e-19,252.81,0.07,282.0,13.0,3.4,,,,,4461196.001388431,1228124261429.3196,3.3806836837088505e+32,1.0,,,,,,,,,
J1901-0312,,19:01:15.675,0.018,-03:12:29.5,0.9,2.81115883203,1.1e-10,-1.811e-14,4e-17,0.3557251865693686,1.391944491957933e-11,2.291646795396197e-15,5.061616334392487e-18,106.4,1.1,228.0,30.0,3.77,,,,,2459421.533090825,913652668936.9706,2.0098496530705804e+33,,,,,,,,,,
J1901-0906,,19:01:53.0087,0.0003,-09:06:11.146,0.01,0.5611899770197,1.3e-12,-5.15952e-16,1.3e-20,1.7819277623429401,4.127846515271073e-12,1.6382851271131851e-15,4.127846515271143e-20,72.677,0.018,29.0,2.0,1.9230629423649235,,,,,17233228.354724027,1728979204227.6836,1.1430860975543476e+31,,,,,,,,,,
J1902+0556,B1900+05,19:02:42.6194,,+05:56:25.9226,,1.339445927984,3e-12,-2.3099535e-14,2e-20,0.7465773564335665,1.6721332474179978e-12,1.2875166824465232e-14,1.1147554982935844e-20,177.486,0.013,-113.0,11.0,3.6,,,,,918730.1863024622,3137356116816.39,1.2214850629180824e+33,,,,,,,,,,
J1902+0615,B1900+06,19:02:50.277,0.002,+06:16:33.41,0.06,1.48477368242,2e-11,-1.7003e-14,1e-18,0.6735033169298381,9.072134358309879e-12,7.712675024717143e-15,4.536067179155415e-19,502.9,0.017,552.6,5.9,7.0,,,,,1383568.7476470063,2306334863940.2065,9.96656612749565e+32,5.0,,,,,,,,,
J1902-1036,,19:02:42.399,0.01,-10:36:13.0,0.7,1.2709491526977525,1.2922493989945081e-11,-1.217429774104475e-14,3.0690923226129557e-19,0.786813538431,8e-12,7.53681e-15,1.9e-19,91.0,,,,3.79,,,,,1654056.324828964,2464221111031.2554,6.108461367087905e+32,,,,,,,,,,
J1903+0135,B1900+01,19:03:29.986,0.001,+01:35:38.53,0.04,1.371164754792,4e-12,-7.5674e-15,4e-19,0.7293069607464464,2.1275545719728748e-12,4.025014116986884e-15,2.1275545719728878e-19,245.167,0.006,72.3,1.0,3.3,,,,,2870839.9950676826,1733759531228.064,4.0963406831253136e+32,,,,,,,,,,
J1903+0601,,19:03:20.874,0.016,+06:01:34.0,0.6,2.67296039604,3e-11,-1.372061e-13,1.9e-18,0.37411702825133636,4.198906524828336e-12,1.9203852951208303e-14,2.6593074657281063e-19,388.0,3.0,176.2,6.2,5.89,,,,,308663.4040073187,2712363566819.8438,1.4478570352660435e+34,,,,,,,,,,
J1903-0258,,19:03:30.343,0.011,-02:58:15.6,0.7,3.31720316669,6e-11,-7.473e-15,6e-18,0.3014587740785948,5.452643548138155e-12,6.791267539206072e-16,5.452643548138161e-19,113.0,0.5,,,4.04,,,,,7033040.629134728,457867019918.6909,9.78648625037022e+32,,,,,,,,,,
J1904+0004,,19:04:12.7180,0.0015,+00:04:05.29,0.04,7.16719146836,6e-11,-6.0642e-15,1.1e-18,0.13952466658865756,1.1680279552005633e-12,1.1805258543212094e-16,2.141384584534375e-20,233.61,0.04,289.0,6.0,6.36,,,,,18725849.463189766,129871311556.0245,1.715861617087042e+33,,,,,,,,,,
J1904+0738,,19:04:07.533,0.001,+07:38:51.69,0.04,4.7856430985392135,4.580475973319201e-12,-9.410542082424565e-15,1.6031665906617306e-19,0.2089583321216,2e-13,4.10898e-16,7e-21,278.32,0.08,,,6.15,,,,,8057340.237409634,296515116326.557,1.7779301090379112e+33,,,,,,,,,,
J1904+0800,,19:04:03.50,0.02,+08:00:52.6,0.9,3.797304072433368,1.297756639666714e-10,-2.4970279699009426e-13,4.325855465556049e-17,0.26334472587,9e-12,1.7317e-14,3e-18,438.8,1.3,769.6,11.3,10.97,,,,,240945.04818184278,2160969410408.2478,3.7433334819917207e+34,,,,,,,,,,
J1904+1011,B1901+10,19:04:02.49,0.02,+10:11:34.6,0.5,0.5386277666346929,2.0308390969291408e-11,-8.007308439320612e-17,2.3209589679190182e-18,1.8565697165,7e-11,2.76e-16,8e-18,135.0,2.0,-98.1,8.6,5.5,,,,,106578159.79949063,724369491044.5193,1.7026878314612143e+30,,,,,,,,,,
J1904-0150,,19:04:55.555,0.01,-01:50:32.5,0.5,2.63582983361,4e-11,-6.182e-15,5e-18,0.37938716196652666,5.757384746600621e-12,8.89803812587126e-16,7.196730933250782e-19,162.2,0.5,,,5.3,,,,,6755451.895039711,587947333185.8655,6.4328897257643795e+32,,,,,,,,,,
J1904-1224,,19:04:33.2809,,-12:24:01.315,,1.331898217656,5e-12,-1.31691e-15,5e-20,0.7508081223803229,2.8185641831613295e-12,7.423590716893973e-16,2.818564183161384e-20,118.23,0.04,28.0,14.0,7.27,,,,,16024370.564591344,755477386852.2119,6.924475292372898e+31,,,,,,,,,,
J1905+0709,B1903+07,19:05:53.6211,,+07:09:19.3667,,1.54311449326,1.5e-10,-1.1767e-14,1.2e-18,0.6480400542978437,6.299338679615283e-11,4.9416212162022025e-15,5.039470943701384e-19,245.34,0.1,272.7,4.4,4.98,,,,,2077774.605656653,1810863143591.3264,7.168423261333887e+32,,,,,,,,,,
